gene_id	Length	T_1_1	T_1_2	T_1_3	T_1_4	T_1_5	T_1_6	T_1_7	T_1_8	T_2_1	T_2_2	T_2_3	T_2_4	T_2_5	T_2_6	T_2_7	T_2_8	T_3_1	T_3_2	T_3_3	T_3_4	T_3_5	T_3_6	T_4_1	T_4_2	T_4_3
ENSG00000173421	4334	17	61	18	31	8	51	7	14	6	3	1	4	6	17	26	22	14	16	13	11	45	27	54	41	18
ENSG00000130783	4280	78	31	40	48	18	83	62	52	94	90	54	35	234	91	24	39	43	41	31	21	65	80	28	47	103
ENSG00000150676	2359	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000198707	25131	2802	2712	1561	1285	980	2140	1759	1862	1783	1922	1524	2350	2131	1537	1563	1302	3293	1639	1718	1605	2005	2364	1164	1572	3306
ENSG00000138180	3291	25	128	13	2	16	100	16	49	85	30	4	18	7	20	6	10	43	7	8	9	12	54	30	33	40
ENSG00000160471	3720	23	23	0	0	0	1	3	5	8	3	3	1	14	0	1	3	6	1	1	1	3	11	0	2	1266
ENSG00000147183	1630	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000124490	1518	0	0	0	0	1	0	0	52	688	0	0	0	5	42	0	18	30	15	3	0	293	10	0	1	28
ENSG00000198930	1092	0	3	0	0	0	0	1	0	2	0	0	0	2	0	0	4	11	1	0	0	1	1	7	1	0
ENSG00000228836	1161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236371	1260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224089	1298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226929	1294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242362	1298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236126	1298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230594	1298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237957	1298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226023	1298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228517	1294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230347	1298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226600	1298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236446	1328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234215	1901	23	25	1	1	11	2	19	25	12	7	4	26	15	13	14	13	11	12	6	10	18	12	8	0	27
ENSG00000231971	3471	0	0	0	0	0	1	0	1	0	0	0	0	7	0	0	1	5	0	0	0	0	4	0	1	0
ENSG00000230013	3356	6	7	3	1	0	2	2	1	3	3	0	2	2	14	2	1	2	4	4	4	2	3	0	0	1
ENSG00000184033	998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000126890	993	1	12	4	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10
ENSG00000212710	4317	1	1	0	2	1	2	1	0	0	1	0	0	2	2	1	0	2	1	0	1	0	1	0	1	0
ENSG00000150527	10539	7327	5377	4500	4193	1139	6523	4269	6605	4469	4972	1106	1490	6312	5317	5967	8870	5815	2288	1575	1281	2365	5014	2764	4141	4468
ENSG00000124092	8928	6	0	2	6	0	2	3	4	1	5	18	2	10	0	0	2	4	3	4	4	50	1	1	2	0
ENSG00000066032	7535	2083	140	1807	2212	2129	4253	173	343	419	2134	878	1273	355	75	158	208	89	1731	1351	1182	99	117	37	1709	105
ENSG00000169551	1728	2	4	0	0	1	3	0	11	0	8	0	0	13	0	0	3	0	0	0	0	1	6	0	0	3
ENSG00000204019	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000133101	2251	187	215	3	0	2	4	16	191	130	86	152	120	257	137	3	106	207	86	172	147	66	158	84	10	12
ENSG00000198876	4315	1467	1069	1667	1048	1491	1820	945	1047	1391	1700	1282	1037	1081	645	987	973	1252	1722	2143	1768	865	1699	912	1635	1382
ENSG00000080007	2724	0	171	8	3	9	12	2	37	36	1	4	0	0	32	4	1	9	43	43	57	10	19	2	16	59
ENSG00000184735	3630	0	144	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1
ENSG00000104901	1325	2	0	2	1	0	0	0	3	23	0	0	0	0	0	3	0	0	0	0	0	1	4	0	3	0
ENSG00000137090	3253	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000179407	3645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163530	1383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000198054	831	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000136929	2192	0	1	43	2	1	3	0	3	0	1	6	4	0	0	0	0	1	9	2	1	1	4	0	2	1
ENSG00000118402	3013	597	408	2292	1724	302	3051	118	600	252	1195	553	246	398	232	1281	268	313	402	423	417	366	288	424	1620	270
ENSG00000179083	3381	18	91	83	41	100	104	11	24	27	153	50	69	20	11	15	24	32	83	92	86	41	23	88	36	25
ENSG00000174016	3204	0	0	1	0	4	0	0	3	5	28	0	2	1	0	0	0	0	0	3	7	0	0	0	0	0
ENSG00000147378	1072	0	15	3	1	3	5	2	1	3	0	0	1	0	7	3	0	1	0	0	0	6	0	4	1	2
ENSG00000177294	2926	1	22	15	7	2	6	3	7	2	85	9	0	8	10	5	7	4	0	5	3	2	13	2	8	1
ENSG00000176988	1139	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	1	0	0	0	1	1	0	0	0
ENSG00000132446	809	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205777	3129	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ENSG00000236737	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237671	527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227488	527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000216649	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236362	659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215269	527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224902	527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224659	541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000189064	528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155622	627	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171405	1413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000026103	5578	32	443	425	130	124	383	82	266	97	214	80	54	45	208	186	99	137	219	127	81	163	517	354	417	197
ENSG00000186281	5684	15	115	66	63	20	53	33	21	16	3	8	6	4	22	14	32	16	20	24	24	52	70	110	115	36
ENSG00000092978	8841	786	697	1023	812	602	1192	581	554	984	871	846	680	424	491	583	530	735	802	837	766	560	693	876	870	757
ENSG00000134627	4498	31	76	90	37	145	75	59	57	83	130	85	29	48	92	37	29	48	271	56	28	67	143	42	139	61
ENSG00000143452	2412	0	8	4	2	1	6	3	9	7	6	0	2	20	15	0	1	4	4	2	0	3	14	3	4	4
ENSG00000176635	2285	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	3	0	0	1	0	0	1
ENSG00000144847	4899	4	17	1001	904	1203	1149	18	37	22	36	184	168	20	14	7	25	14	1600	907	1060	13	22	6	472	26
ENSG00000123496	1626	287	236	14	13	3	3	76	1043	1482	1168	12	1	378	748	1215	1606	1186	173	43	79	676	454	169	17	542
ENSG00000230589	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117139	24899	3358	2460	3004	2630	1993	3666	2057	2016	5293	3780	2434	2875	1465	1996	2024	2359	2133	2253	2079	1757	2319	2048	2579	2928	2258
ENSG00000007202	9232	6322	6001	7529	6739	7026	8427	4221	7111	4013	8090	5447	6025	7621	5621	8238	5344	4319	5168	5845	4780	6229	6494	5288	5382	6139
ENSG00000166796	2089	12	1	67	0	0	2	2	0	0	17	0	0	0	8	2	0	1	1	0	0	0	0	3	0	15
ENSG00000186007	1041	0	2	0	0	0	0	0	1	17	178	1	0	0	5	0	1	3	0	5	2	1	1	0	1	1
ENSG00000188992	1919	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258710	7199	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000102021	1746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ENSG00000160886	4049	8	2	6	1	2	2	0	2	0	10	1	0	3	24	13	0	4	2	1	0	5	6	0	8	0
ENSG00000143194	3148	0	9	95	193	18	154	13	8	113	11	43	17	4	17	0	23	12	4	44	28	18	11	8	94	2
ENSG00000198681	1711	0	461	0	0	0	0	9	1	1	0	0	0	0	8	2	0	0	0	0	0	0	1	1	1	366
ENSG00000124260	2899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000185247	3467	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	20	0	0	0	0
ENSG00000213401	1965	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	2	1	0	2
ENSG00000183305	2422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221867	1773	0	503	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	21
ENSG00000147381	3370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ENSG00000242520	942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197172	1863	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	278
ENSG00000156009	2363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000123584	1814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214107	1994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000099399	1607	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198798	2087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120289	2188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188408	1216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176746	1949	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11
ENSG00000155495	4256	0	28	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	1021	1	0	10	2396
ENSG00000046774	1994	0	0	0	0	4	0	3	0	0	0	0	0	0	0	38	1	0	0	0	0	0	0	0	8	2534
ENSG00000165509	2763	9	2	0	0	0	2	1	8	14	9	3	4	12	0	0	2	5	0	0	0	39	5	0	0	5
ENSG00000142945	3646	47	150	42	71	33	151	18	48	24	30	33	49	15	21	21	28	59	16	27	23	41	91	47	62	47
ENSG00000114487	3747	0	0	0	0	0	0	0	0	5	1	5	79	3	0	3	0	0	0	3	0	2	0	1	0	0
ENSG00000138182	6871	433	459	139	156	203	314	158	237	254	334	321	305	106	79	200	144	248	277	307	278	214	268	227	193	258
ENSG00000160505	3942	0	17	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	2	5
ENSG00000101746	6468	6090	1736	3918	3461	5517	6001	2354	2255	384	3448	5900	3955	2919	1829	4366	2733	1476	3258	3074	2868	520	1860	1603	4032	725
ENSG00000148200	7125	89	40	14	23	37	9	47	84	41	112	74	12	1	41	35	40	67	231	201	148	80	45	280	10	343
ENSG00000269405	2340	0	4	1	0	0	0	0	0	0	0	2	0	2	0	0	2	5	0	1	0	7	3	0	0	5
ENSG00000269437	2597	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000155087	1026	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000136811	6393	926	1756	877	583	509	1082	572	569	586	427	969	636	716	1055	627	544	1745	945	993	782	779	1174	541	987	1184
ENSG00000177947	3087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000184650	1352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000104147	1201	7	29	1	2	10	19	2	8	6	15	3	3	1	0	1	2	7	2	3	4	7	13	3	13	5
ENSG00000155719	7541	9	13	6	5	7	5	7	5	3	1	6	5	20	7	4	0	2	7	7	11	7	7	3	1	6
ENSG00000068985	659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234068	651	0	0	0	0	0	0	0	0	2	36	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1
ENSG00000238269	540	0	2	0	0	0	0	0	0	4	0	0	0	0	0	14	0	3	0	0	0	2	0	0	0	0
ENSG00000204279	826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000101951	2241	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
ENSG00000158639	752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	4	0	0
ENSG00000166049	4376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000168078	2148	30	183	3	1	23	134	13	88	46	163	17	10	12	58	9	6	58	14	6	1	12	105	32	51	30
ENSG00000131721	2848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197181	5737	0	12	29	15	5	33	13	20	25	25	14	1	10	4	11	9	13	19	20	16	21	46	3	53	19
ENSG00000170965	1904	0	9	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	2
ENSG00000188877	2268	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233917	2635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183206	7133	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
ENSG00000166351	6955	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188219	4727	4	70	7	3	2	1	141	11	2	2	8	5	39	93	75	61	46	1	1	4	55	16	29	1	27
ENSG00000187537	2509	0	6	0	0	0	0	1	2	2	0	0	0	8	0	1	1	1	0	0	0	0	5	0	0	30
ENSG00000198062	2293	0	13	0	0	0	0	0	6	0	1	0	0	9	20	0	1	0	0	0	0	0	3	0	0	42
ENSG00000185686	3806	0	0	0	4	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000175646	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000122304	724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000103023	2112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184647	3150	0	0	0	1	0	0	1	1	0	5	1	0	0	0	0	3	0	1	0	0	0	0	4	0	0
ENSG00000204179	4506	343	1	508	488	188	24	140	4	7	578	372	15	9	23	200	26	0	86	3	5	204	6	20	59	320
ENSG00000151962	4027	2	33	0	0	0	1	10	36	5	6	2	3	82	4	0	5	5	0	0	0	14	23	0	0	1
ENSG00000132554	6363	100	370	781	238	642	831	80	282	6	109	72	54	426	47	595	109	12	501	699	563	409	616	7	488	266
ENSG00000065371	4518	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSG00000144580	5289	1254	965	1515	1541	1584	2126	1202	983	978	1437	1563	1692	812	874	1014	979	843	977	1009	834	907	955	938	1405	855
ENSG00000181433	3020	0	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ENSG00000124233	1622	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000205359	2960	0	0	0	0	0	0	0	0	0	0	0	0	2	0	16	0	0	0	0	0	1	0	0	0	1
ENSG00000064199	5159	195	224	587	390	316	510	114	123	145	410	120	204	197	187	394	93	460	200	156	136	103	308	91	318	162
ENSG00000141316	1252	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000104450	5056	220	568	572	384	269	511	128	407	166	331	766	171	313	164	984	239	739	486	243	184	178	430	155	296	215
ENSG00000155761	9828	0	64	3	4	6	35	18	76	51	422	14	4	4	47	4	11	1582	119	9	8	92	16	1	21	272
ENSG00000061656	2348	90	184	110	271	39	114	16	75	8	284	56	77	108	77	223	80	2093	83	153	94	1263	183	147	84	1531
ENSG00000077327	3876	0	1	312	1	600	3	0	5	204	920	194	114	356	50	15	2	1617	255	78	80	76	3	183	2	2
ENSG00000137098	2722	288	304	203	70	241	157	103	135	138	70	93	207	128	128	149	136	651	160	288	244	108	467	108	185	345
ENSG00000008294	11966	7236	7116	6631	5186	4185	8805	3544	5940	3148	3763	5003	4028	5263	4300	3607	3020	4866	4764	7051	6234	3785	5644	3185	6068	5713
ENSG00000198021	691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203926	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227234	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198573	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196406	682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000189252	590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203923	697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000189326	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204363	642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000166118	898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000152582	16140	781	2254	375	195	336	342	296	734	749	725	536	1006	1066	1271	524	706	5503	488	470	392	1052	1729	344	185	2126
ENSG00000101448	6238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000054796	1823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000126752	1223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241476	1536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000165584	2108	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000165583	1516	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171483	1869	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187754	1340	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204648	821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171772	4016	0	10	8	4	0	2	0	1	1	0	8	13	1	0	155	4	0	1	6	0	13	2	0	0	5
ENSG00000198765	4278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000102387	2712	0	2	1	0	0	0	0	3	0	11	0	6	0	0	0	0	1	4	2	4	6	12	2	2	5
ENSG00000095627	5256	8	7	20	13	6	6	7	3	6	3	0	1	0	3	8	1	1	129	12	12	15	20	1085	10	6
ENSG00000132972	5617	13	0	0	1	0	2	0	0	0	5	0	2	0	0	0	0	11	0	0	0	0	1	0	0	2
ENSG00000180113	9041	230	225	158	98	23	183	221	146	256	280	120	23	128	121	213	353	113	141	55	90	261	184	83	158	296
ENSG00000153060	1760	0	17	3	2	0	1	0	4	8	8	1	0	6	4	1	3	0	10	4	2	3	2	0	0	0
ENSG00000131126	1597	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ENSG00000121101	5325	17	11	11	67	3	6	13	20	18	10	22	22	21	60	7	56	14	9	31	23	10	16	4	32	68
ENSG00000133863	11869	8	6	4	0	7	2	0	100	119	23	89	114	2	29	2	20	66	20	0	3	1	1	95	5	6
ENSG00000183434	1693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000105549	2086	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	1
ENSG00000241697	2575	0	0	0	0	0	1	0	0	1	1	0	0	2	0	0	0	1	1	0	0	1	0	0	0	0
ENSG00000144339	5856	94	26	1	0	0	1	24	9	0	1	0	5	10	60	9	167	0	15	1	3	4	17	2	0	0
ENSG00000144868	8408	78	125	1106	417	1515	1113	43	153	318	734	501	1106	154	162	88	60	67	805	2629	2255	71	69	163	166	106
ENSG00000186452	3336	3	0	2	2	0	5	1	0	0	12	0	0	0	0	0	0	1	2	1	2	1	1	0	2	0
ENSG00000179636	2475	1	0	0	0	0	0	0	0	7	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000135951	7375	539	293	647	509	470	896	668	260	545	1291	640	289	520	140	729	470	504	529	330	283	281	374	523	655	423
ENSG00000258992	1172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000168757	1941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228927	1941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178093	1529	36	19	38	15	27	57	13	18	73	16	10	24	15	32	25	40	26	11	29	26	7	30	13	19	43
ENSG00000112742	4579	23	117	20	13	29	138	17	51	97	92	32	14	6	41	24	8	54	23	26	12	68	55	38	46	44
ENSG00000104804	2249	9	6	1	2	0	3	0	0	0	0	0	1	0	0	1	3	6	0	0	0	0	1	1	1	0
ENSG00000259849	4380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
